AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
286279,342371680,3056,6,2023-12-29,18,欧美 流行 快乐 ,158,Citywalk 去拥抱浪漫 拥抱自由｜城市漫游,9104022987,https://music.163.com/playlist?id=9104022987
3207240,98971,58785,276,2013-11-03,674,运动 欧美 流行 ,45,音乐激励运动·中速跑BPM160-170·壹,5070424,https://music.163.com/playlist?id=5070424
17118734,2143240154,48380,125,2022-10-31,566,华语 R&B/Soul 流行 ,118,『中文R&B』七分优雅 三分微醺 尽情享受,7718873660,https://music.163.com/playlist?id=7718873660
717749,1353232010,9777,31,2022-09-19,106,流行 欧美 清晨 ,108,通勤路上的必备英文单曲,7644330173,https://music.163.com/playlist?id=7644330173
672540,107742044,4358,15,2024-01-09,23,华语 流行 感动 ,175,单依纯 张碧晨 薛之谦 周深 郁可唯 陈楚生,9127189679,https://music.163.com/playlist?id=9127189679
2073699,7965084314,13759,124,2023-03-26,187,欧美 放松 日语 ,206,听了心情100%快乐的歌曲,8260713756,https://music.163.com/playlist?id=8260713756
237707,1550439771,1860,6,2022-12-18,4,流行 治愈 放松 ,253,英文｜好听的英文歌百听不厌,7827327562,https://music.163.com/playlist?id=7827327562
3820483,2084829994,28680,274,2023-01-23,1123,华语 流行 伤感 ,202,1.2x1.3x他们都说忘记就不会痛苦.,8090285817,https://music.163.com/playlist?id=8090285817
1998619,499915181,24607,80,2018-03-14,1166,日语 民谣 世界音乐 ,114,琉球暖风伴清酒，日本岛呗艺术家大赏,2140965208,https://music.163.com/playlist?id=2140965208
194294,3432498,3246,24,2021-07-06,306,欧美 摇滚 朋克 ,93,后朋复兴丨千禧年后英国音乐场景的生猛重拳,6845093022,https://music.163.com/playlist?id=6845093022
1275828,48578227,13686,64,2023-04-16,215,R&B/Soul 放松 流行 ,302,Chill一下 | 把节奏放慢生活也是爱也是。,8304487903,https://music.163.com/playlist?id=8304487903
59062,1360325059,243,8,2023-11-28,8,说唱 欧美 ,56,Hiphop精选｜感受街头潮流的节奏冲击,8888859360,https://music.163.com/playlist?id=8888859360
321559,413162032,2827,28,2020-07-01,69,说唱 流行 ,217,不安人的心里装着薄荷水,5090647718,https://music.163.com/playlist?id=5090647718
103587,7872690377,617,60,2023-12-04,3,流行 华语 ,345,「爆款潜质」｜值得收藏的宝藏小歌,8901809096,https://music.163.com/playlist?id=8901809096
484170,342371680,8128,30,2023-05-08,65,日语 流行 清新 ,122,日式清新向｜超清新治愈的日语歌单,8405928935,https://music.163.com/playlist?id=8405928935
809149,342371680,8202,40,2023-04-23,125,轻音乐 清新 流行 ,91,自然之音 | 沉浸大自然 静谧与美好之中,8374925988,https://music.163.com/playlist?id=8374925988
3178286,373135893,33723,178,2019-07-11,1691,欧美 流行 ,217,比伯/碧梨/猴西/霉霉/水果/A妹/戳爷/Lauv/,2880017077,https://music.163.com/playlist?id=2880017077
1248754,1378494832,8614,44,2022-06-21,111,欧美 流行 兴奋 ,85,「欧美 超燃 节奏」女生既可以美也可以酷,7499330006,https://music.163.com/playlist?id=7499330006
2371967,52895432,28671,112,2023-07-12,368,欧美 流行 散步 ,119,citywalk听什么 | 漫步在都市节拍,8552179490,https://music.163.com/playlist?id=8552179490
6615856,1435950637,112217,342,2022-04-24,1442,华语 R&B/Soul 浪漫 ,258,华语｜Soul/R&B/方大同/陶喆/余佳运/…,7392583710,https://music.163.com/playlist?id=7392583710
14440442,7883242184,38060,1089,2022-06-14,835,华语 流行 浪漫 ,180,精选|音乐总是让人回味无穷,7487787817,https://music.163.com/playlist?id=7487787817
6748570,260858359,146993,2621,2016-04-28,2557,器乐 民族 安静 ,84,古琴‖清泠由木性 恬澹随人心,371174745,https://music.163.com/playlist?id=371174745
127545,1827318206,2854,25,2020-11-29,23,轻音乐 治愈 放松 ,196,少与人纠缠 多看大自然,5357515380,https://music.163.com/playlist?id=5357515380
279748,443893337,1549,1,2023-06-08,12,华语 流行 综艺 ,94,天赐的声音第四季1- 6合集,8468760336,https://music.163.com/playlist?id=8468760336
460759,342371680,5534,21,2023-06-20,66,欧美 R&B/Soul 性感 ,101,浪漫R&B：微醺氛围 浪漫鼓点 氤氲浸染,8495584696,https://music.163.com/playlist?id=8495584696
103209,268149434,1635,44,2018-06-03,90,华语 经典 流行 ,119,五月天回到那一天|5525演唱会北京现场歌单,2254025569,https://music.163.com/playlist?id=2254025569
2581075,290894929,22302,69,2023-02-10,152,古风 华语 思念 ,75,戏腔绝唱 | 赐我一场相爱，却又匆匆离开,8153773090,https://music.163.com/playlist?id=8153773090
836529,1763784387,3674,65,2020-01-13,49,伤感 安静 孤独 ,119,“人不会因为缺爱而被爱”,3191202168,https://music.163.com/playlist?id=3191202168
1655184,342371680,45158,174,2023-07-19,445,孤独 轻音乐 古典 ,124,美学纯音：纯粹 寂静 悠远 孤独 深邃,8573117366,https://music.163.com/playlist?id=8573117366
11599612,1704916943,93391,358,2019-02-15,1705,欧美 流行 兴奋 ,153,【英文】燃爆全场的英文歌曲，嗨到天亮！,2669325401,https://music.163.com/playlist?id=2669325401
13315,264182445,86,1,2023-11-20,2,R&B/Soul 欧美 放松 ,87,欧美慵懒R&B | 夕阳挂在海岸上空,8873854259,https://music.163.com/playlist?id=8873854259
10790542,79640896,99147,1380,2018-06-14,2177,另类/独立 摇滚 治愈 ,59,"•国人的噪声美学| 吾生梦幻间, 何事绁尘羁",2269884762,https://music.163.com/playlist?id=2269884762
2026102,422440514,11499,37,2023-03-19,133,欧美 电子 运动 ,83,欧美/节奏控/健身房充能/超燃,8245679886,https://music.163.com/playlist?id=8245679886
940693,107742044,4434,7,2023-11-13,21,华语 流行 工作 ,172,华语神仙嗓音：张碧晨 单依纯 周深 张韶涵,8859990644,https://music.163.com/playlist?id=8859990644
141731,3223389037,628,4,2023-05-19,10,华语 流行 综艺 ,97,天赐的声音第五季第5期丨Live封神现场,8426511243,https://music.163.com/playlist?id=8426511243
5384061,54614223,78634,120,2015-07-31,1417,流行 爵士 欧美 ,149,纵享丝滑，慵懒性感的咖啡味女声,94064401,https://music.163.com/playlist?id=94064401
3889292,1546777331,47920,60,2023-03-05,628,华语 流行 R&B/Soul ,99,情歌R&B｜萦绕耳畔的浪漫絮语,8213357610,https://music.163.com/playlist?id=8213357610
3751826,72460701,54886,143,2023-04-24,742,欧美 R&B/Soul 说唱 ,178,「爬墙」旋律/氛围/欧美/R&b/流行/说唱,8377278470,https://music.163.com/playlist?id=8377278470
10791827,1286855393,129890,404,2021-02-04,2103,欧美 浪漫 R&B/Soul ,227,慵懒随性 | 戴上耳机舒适度100%,6597679343,https://music.163.com/playlist?id=6597679343
5150542,541959300,66358,130,2022-11-03,696,华语 古风 流行 ,92,国风戏腔 | 人心多变，幻中吞幻,7724264654,https://music.163.com/playlist?id=7724264654
294663,1580575984,3747,17,2022-11-30,68,欧美 治愈 安静 ,84,「暮野治愈」沉浸聆听/自由的风/松弛且慵懒,7780071743,https://music.163.com/playlist?id=7780071743
582663,568244854,5574,17,2023-03-22,69,华语 浪漫 说唱 ,105,旋律说唱|与众不同的浪漫告白,8250397528,https://music.163.com/playlist?id=8250397528
11354,8800482005,176,1,2023-12-29,0,欧美 流行 怀旧 ,87,「风靡全球」曾经爆火的欧美神曲听过吗？,9103304316,https://music.163.com/playlist?id=9103304316
8816206,374353420,149968,706,2018-10-06,3504,欧美 舞曲 电子 ,60,《复古青年蹦迪指南》,2456763210,https://music.163.com/playlist?id=2456763210
11065158,5832286,282590,803,2016-08-30,4471,轻音乐 日语 器乐 ,81,和风｜物哀，如得其情，则哀矜而勿喜,454371535,https://music.163.com/playlist?id=454371535
4498044,107742044,22628,130,2023-11-04,119,华语 流行 综艺 ,191,顶级音综：一开嗓神仙都沦陷！,8841461487,https://music.163.com/playlist?id=8841461487
8290727,45441555,218549,849,2017-08-08,2413,日语 电子 ACG ,88,冰镇软萌音｜不能自已的Kawaii电音,873024264,https://music.163.com/playlist?id=873024264
2862794,409028007,29478,372,2020-12-19,364,韩语 流行 放松 ,122,【K-POP】心动前奏•撩拨沉寂已久的心灵,5387937606,https://music.163.com/playlist?id=5387937606
919513,568244854,4903,14,2023-05-17,54,华语 流行 说唱 ,145,『浪漫主义』爆炸好听的旋律说唱！,8422583693,https://music.163.com/playlist?id=8422583693
240259,1289346856,2897,17,2023-10-28,59,另类/独立 放松 驾车 ,82,Synthwave | 复古霓虹 敞篷跑车 落日余晖,8826758019,https://music.163.com/playlist?id=8826758019
831493,7883293786,7616,22,2023-06-02,68,欧美 流行 放松 ,100,小众｜那些极致温柔的英文歌,8451886193,https://music.163.com/playlist?id=8451886193
3125226,1580575984,36363,230,2020-08-21,658,欧美 R&B/Soul 清新 ,157,黄昏将至| 蓝调R&B奏响日落橘海,5193221116,https://music.163.com/playlist?id=5193221116
596579,568244854,3806,18,2023-03-27,50,说唱 流行 网络歌曲 ,110,高甜Rap | 高糖不发胖的说唱,8261733095,https://music.163.com/playlist?id=8261733095
2729990,290212891,16596,29,2023-01-14,159,华语 90后 流行 ,198,华语经典 | 那些属于我们青春的一首歌曲,8055396278,https://music.163.com/playlist?id=8055396278
1498591,311877725,16828,124,2020-02-19,605,影视原声 怀旧 经典 ,70,经典放映室｜美国往事 黑白人生,4872288769,https://music.163.com/playlist?id=4872288769
2229231,538251488,31424,277,2021-02-12,259,另类/独立 摇滚 夜晚 ,65,「所以生命啊，它苦涩如歌。」,6612616283,https://music.163.com/playlist?id=6612616283
2754494,1152031,54002,348,2014-01-01,1131,爵士 欧美 怀旧 ,16,老爵士，入味地听,7352769,https://music.163.com/playlist?id=7352769
5521837,585547926,50580,284,2021-04-05,776,华语 流行 R&B/Soul ,127,华语R&B|和喜欢的人一起听歌就有双倍的快乐,6697491422,https://music.163.com/playlist?id=6697491422
2387455,7883271025,16517,49,2022-11-04,260,R&B/Soul ,113,R&B|体验慵懒舒适的轻快感,7726448714,https://music.163.com/playlist?id=7726448714
1126095,1580575984,12859,68,2023-01-05,255,欧美 R&B/Soul 治愈 ,128,慵懒R&B | 沉沦于梦境的动情语调,8023868883,https://music.163.com/playlist?id=8023868883
1427458,107742044,5935,14,2023-12-14,22,华语 流行 综艺 ,178,盘点综艺里的神仙演唱：一开嗓就沦陷,8934556275,https://music.163.com/playlist?id=8934556275
4146736,783819,20254,489,2017-08-27,230,华语 流行 怀旧 ,93,"B面第一首 ""非主打""备胎的忧伤",896260777,https://music.163.com/playlist?id=896260777
4999437,395844527,72160,965,2023-10-20,2777,欧美 流行 快乐 ,56,Taylor Swift霉霉时代巡演大电影歌单！,8811017000,https://music.163.com/playlist?id=8811017000
739509,476926053,24504,98,2022-10-21,234,日语 夜晚 ,53,【日语】希望明天永远不要到来,7698917382,https://music.163.com/playlist?id=7698917382
41337228,108952364,352667,600,2017-08-25,4677,粤语 流行 怀旧 ,99,粤语女声：永远心仪,893126993,https://music.163.com/playlist?id=893126993
4414354,477233246,95680,335,2022-04-08,2153,浪漫 夜晚 欧美 ,269,微醺氛围曲| 浪漫 缠绵 极致欢愉,7371585618,https://music.163.com/playlist?id=7371585618
7348663,511320314,103297,186,2019-03-23,1278,摇滚 华语 流行 ,168,回春丹/草东/告五人/花墙/脏手指/新裤子,2721184237,https://music.163.com/playlist?id=2721184237
4580133,392078662,36256,60,2021-09-18,402,欧美 流行 ,214,欧美英文｜旋律 节奏 律动 氛围,6976173486,https://music.163.com/playlist?id=6976173486
4437330,58136425,71477,3687,2015-06-26,2387,ACG 华语 日语 ,109,追忆向【童年不是喜羊羊真是太好了】,84484785,https://music.163.com/playlist?id=84484785
186352,429700308,632,27,2023-12-28,65,电子 舞曲 驾车 ,145,｜电音·榜单｜热门电音单曲 与君共赏,9101775456,https://music.163.com/playlist?id=9101775456
424228,1349255473,4264,8,2023-09-17,32,韩语 影视原声 00后 ,75,那些年追过的韩剧ost合集,8739057655,https://music.163.com/playlist?id=8739057655
4289965,64272440,64499,244,2017-01-08,1654,轻音乐 器乐 浪漫 ,66,浪漫主义 献给爱与美,563131486,https://music.163.com/playlist?id=563131486
3047231,1375708851,42965,158,2020-09-26,675,R&B/Soul 治愈 ,254,方大同 余佳运 卢广仲 陶喆 丁世光,5254762765,https://music.163.com/playlist?id=5254762765
156778,614517058,4661,56,2022-10-23,55,日语 流行 ACG ,119,「四夜人集合！」夜鹿 真夜中 夜游 可惜夜,7703720227,https://music.163.com/playlist?id=7703720227
1423657,568244854,8261,58,2023-04-05,119,华语 说唱 流行 ,120,微甜RAP | 想尝尝爱情的甜嘛,8280551582,https://music.163.com/playlist?id=8280551582
620165,7883271025,3802,12,2022-11-04,57,R&B/Soul ,94,氛围R&B|让晚风吹走夜晚的孤独,7726266672,https://music.163.com/playlist?id=7726266672
1027721,280729741,7229,84,2023-04-24,99,欧美 说唱 放松 ,217,欧美说唱 | 百变flow纵享丝滑,8377288379,https://music.163.com/playlist?id=8377288379
211829,312585551,1033,5,2023-12-07,9,流行 电子 驾车 ,117,蹦迪神曲 | 抖腿难改`摇头情似海,8907503220,https://music.163.com/playlist?id=8907503220
488914,3937312537,2340,4,2023-04-21,29,华语 欧美 R&B/Soul ,96,[R&B]微醺 像轻云细雨般，缠绵不清,8368338198,https://music.163.com/playlist?id=8368338198
1112624,7394345,18688,157,2020-06-22,564,电子 另类/独立 孤独 ,80,Future Garage ' 孤独与守望者的悲鸣,5076804809,https://music.163.com/playlist?id=5076804809
8144825,7629556,73053,348,2016-09-29,697,华语 爵士 夜晚 ,37,听华语中的爵士味道，别样慵懒,474564716,https://music.163.com/playlist?id=474564716
1720982,568244854,19231,97,2023-04-05,159,华语 流行 说唱 ,128,甜腻Rap | 脸红警告 想恋爱拉！,8280619473,https://music.163.com/playlist?id=8280619473
314906,1499091900,3658,26,2023-12-08,55,华语 R&B/Soul 浪漫 ,100,华语R&B| 是冬夜里冒着热气的月亮 ,8912074743,https://music.163.com/playlist?id=8912074743
402136,312585551,2088,12,2023-12-07,18,电子 驾车 兴奋 ,117,车载DJ丨超嗨节奏响彻旅途,8907116931,https://music.163.com/playlist?id=8907116931
6919862,1908891938,49348,293,2021-08-10,616,欧美 电子 游戏 ,95,那些超燃超带感的英文歌【精选合集no.1】,6910830828,https://music.163.com/playlist?id=6910830828
5126414,31080099,96912,894,2014-10-14,1852,摇滚 欧美 工作 ,63,温柔的摇滚吟颂者,32471960,https://music.163.com/playlist?id=32471960
13849372,2683821,493950,2659,2016-05-15,7447,小语种 ACG New Age ,91,「造语歌」穿透灵魂 如唱诗般空灵唯美♪,382291922,https://music.163.com/playlist?id=382291922
3272823,254932212,46856,376,2023-02-16,1201,流行 R&B/Soul 欧美 ,101,欧美氛围R&B ｜ 听节奏布鲁斯才是正经事,8171148265,https://music.163.com/playlist?id=8171148265
7587994,370517680,88085,670,2018-07-12,1170,华语 R&B/Soul 流行 ,110,宝藏R&B：那些挑动心弦的惊艳佳作,2311898947,https://music.163.com/playlist?id=2311898947
3802469,85351650,58561,569,2016-05-16,1541,后摇 器乐 另类/独立 ,151,提琴后摇 I 颅内盛宴，思绪狂欢,382716015,https://music.163.com/playlist?id=382716015
4294282,33885759,37552,372,2017-02-28,609,粤语 流行 华语 ,96,香港金牌作曲人第二辑｜如果没有雷颂德,615218978,https://music.163.com/playlist?id=615218978
6451575,7394345,59623,410,2019-04-06,607,华语 流行 伤感 ,144,「华语R&B」陷入耳机里的温柔旋律,2743807342,https://music.163.com/playlist?id=2743807342
17615118,897345,423511,3733,2015-09-29,7384,轻音乐 兴奋 ,114,牛掰的人是这样拉小提琴的！,111456043,https://music.163.com/playlist?id=111456043
18546858,118484559,237583,805,2015-12-30,3101,欧美 电子 清新 ,154,【绝美人声+完美电音】，触电节奏一秒倾心~,146852233,https://music.163.com/playlist?id=146852233
2709848,7883271025,21664,51,2022-11-04,371,R&B/Soul ,98,微醺R&B|享受此中片刻醉意,7726237700,https://music.163.com/playlist?id=7726237700
4198999,44287793,96959,372,2018-03-18,879,器乐 轻音乐 民族 ,37,华夏风骨●宫商角徵羽 五音传千年,2146003213,https://music.163.com/playlist?id=2146003213
13272170,2747182,327620,1281,2015-05-06,5607,轻音乐 治愈 感动 ,135,极简主义 | 听见。即诗。,71289185,https://music.163.com/playlist?id=71289185
1108663,286427520,33653,236,2019-02-17,854,古典 学习 经典 ,197,古典音乐是如何命名编排的？,2671752276,https://music.163.com/playlist?id=2671752276
2370147,1650191296,24753,142,2019-04-28,614,欧美 乡村 旅行 ,96,Country | 自驾旅行，赏乡野风情,2774009329,https://music.163.com/playlist?id=2774009329
1039733,35631431,27930,79,2021-01-26,718,日语 流行 经典 ,128,东瀛 1980s 都市流行时光机丨City Pop,5483718802,https://music.163.com/playlist?id=5483718802
2177608,111089166,31164,108,2020-05-21,711,日语 怀旧 经典 ,39,怀旧金曲丨那些原唱是日语的经典老歌,5028497628,https://music.163.com/playlist?id=5028497628
2269821,97515301,32224,54,2023-02-11,485,运动 散步 地铁 ,182,潮牌店BGM/东山口/安福路/太古里,8157041911,https://music.163.com/playlist?id=8157041911
2770937,341030416,24661,116,2019-08-30,596,欧美 英伦 另类/独立 ,119,『英伦女声』遗世而独立的不列颠玫瑰,2962407224,https://music.163.com/playlist?id=2962407224
2287892,105595655,17028,39,2022-11-09,157,华语 说唱 性感 ,145,【Hip-Hop街区】武装押韵，爆炸预警,7737528631,https://music.163.com/playlist?id=7737528631
17434634,389547363,161817,381,2020-02-28,1174,华语 流行 怀旧 ,99,青春的记忆|九十年代最好听的100首歌,4887974807,https://music.163.com/playlist?id=4887974807
2060964,418592306,34559,145,2019-09-08,360,轻音乐 浪漫 经典 ,195,国人浪漫主义 | 和風爱凄雅，国乐纵逍遥,2975237579,https://music.163.com/playlist?id=2975237579
2053956,44287793,30958,477,2018-06-03,356,华语 古风 民族 ,57,三字词牌集●红笺小字 说尽平生意,2252564543,https://music.163.com/playlist?id=2252564543
4205347,5190793,64621,228,2015-07-30,909,运动 欧美 电子 ,30,每天一点轻电的跑步节奏,93817702,https://music.163.com/playlist?id=93817702
7776067,320509339,147472,361,2017-02-18,3159,流行 爵士 放松 ,25,爵士与散步可兼得,605499971,https://music.163.com/playlist?id=605499971
1676879,3432498,50491,211,2020-06-20,1294,欧美 摇滚 另类/独立 ,61,东斯拉夫丨后苏联时代后朋冷潮的复古美学,5073767626,https://music.163.com/playlist?id=5073767626
4316282,6190643,82842,1924,2015-07-10,1805,古风 影视原声 游戏 ,100,『踏歌长行』仙剑＆古剑音乐分类排名盘点,88193751,https://music.163.com/playlist?id=88193751
8878766,3011615,232580,1184,2013-10-01,2996,小语种 清新 浪漫 ,30,全球最动听的法语歌,4241903,https://music.163.com/playlist?id=4241903
551265,485543957,4966,11,2021-10-14,238,欧美 古典 钢琴 ,39,艺术之魂丨电影中那些至美的「肖邦时刻」,7019680451,https://music.163.com/playlist?id=7019680451
6751533,7394345,44377,728,2020-07-17,745,流行 韩语 兴奋 ,147,K-Pop选集 ' 有氧节拍劲爆来袭,5126194900,https://music.163.com/playlist?id=5126194900
3649848,111089166,66388,137,2020-05-21,1147,日语 怀旧 浪漫 ,108,City Pop丨霓虹之都的浪漫旋律❤,5028486868,https://music.163.com/playlist?id=5028486868
16545918,31199688,318659,1298,2015-12-03,3896,欧美 电子 另类/独立 ,19,【毒】开口沉醉，迷失于这女声,134606748,https://music.163.com/playlist?id=134606748
9384642,6802965,101472,459,2014-08-11,1007,运动 欧美 流行 ,47,[ 运动音乐 ] 脂肪与美貌不可兼得,24344383,https://music.163.com/playlist?id=24344383
8917538,205640,171265,939,2014-10-27,2508,民谣 欧美 清新 ,137,我听欧美民谣的美好时光,34254526,https://music.163.com/playlist?id=34254526
9643330,113164676,145317,526,2017-12-27,2502,欧美 流行 钢琴 ,303,钢琴前奏｜清新静谧的舒适体验,2031723550,https://music.163.com/playlist?id=2031723550
9589158,53654839,105343,1026,2018-02-11,2447,欧美 电子 浪漫 ,97,玫瑰全都给你 可不可以把你给我？,2097947168,https://music.163.com/playlist?id=2097947168
194288352,6438754,3907060,10371,2014-11-19,41178,流行 欧美 快乐 ,16,那些只听前奏就中毒的英文歌,37432514,https://music.163.com/playlist?id=37432514
425345,379601668,6181,28,2020-12-19,264,古风 民族 华语 ,62,礼义之邦｜华夏文明五千年，薪火相传永不灭,5386704458,https://music.163.com/playlist?id=5386704458
549614,122356259,8913,89,2018-09-16,419,欧美 摇滚 蓝调 ,42,复古派对|一起跳欢乐的舞蹈吗,2423552205,https://music.163.com/playlist?id=2423552205
1013849,286427520,13805,124,2019-07-28,475,欧美 摇滚 ,41,巴洛克流行 I 摇滚和古典的美妙结合,2903676321,https://music.163.com/playlist?id=2903676321
846269,435792755,19004,135,2020-04-28,408,电子 轻音乐 ACG ,56,童话风电子｜异世界环游，糖果与幻想,4992498533,https://music.163.com/playlist?id=4992498533
2653224,69578876,35609,623,2015-11-17,449,说唱 欧美 榜单 ,97,美国说唱史上最伟大的100位歌手。,128251515,https://music.163.com/playlist?id=128251515
4094037,350556138,51609,158,2017-09-03,1047,摇滚 蓝调 爵士 ,100,一百位爵士吉他大师•爵士乐全风格收录,905194035,https://music.163.com/playlist?id=905194035
4103834,83659385,85105,769,2017-08-08,1185,轻音乐 民族 ACG ,159,『异域幻想』妖精乡 · 骑士的放浪冒险谭,872527977,https://music.163.com/playlist?id=872527977
7904760,1323364095,113185,1306,2019-03-14,1242,欧美 学习 流行 ,280,『学霸模式』让音乐来陪伴一天的学习,2708862630,https://music.163.com/playlist?id=2708862630
33155326,532678175,724443,3011,2017-11-18,5656,游戏 电子 运动 ,55,『玩游戏』游戏运动必备超燃电音PHONK,1980964492,https://music.163.com/playlist?id=1980964492
1694789,341030416,6616,83,2020-11-23,1035,摇滚 欧美 感动 ,103,「雨之摇滚·倾听爱与自由乐章」,5347651276,https://music.163.com/playlist?id=5347651276
20041926,129593031,351711,3243,2016-11-13,10989,夜晚 孤独 后摇 ,111,「后摇」一只孤独的巨兽在深海里呼喊,509265479,https://music.163.com/playlist?id=509265479
4347699,122356259,51629,167,2018-01-14,939,欧美 摇滚 驾车 ,61,公路音乐|纵情追逐梦想与远方,2057923710,https://music.163.com/playlist?id=2057923710
30004988,248755337,706867,2564,2018-01-03,6053,华语 古风 学习 ,190,『曲作精选』细数古风圈原创作曲人❶,2041615881,https://music.163.com/playlist?id=2041615881
8359320,3009378,257722,516,2013-09-17,2171,轻音乐 放松 经典 ,35,背景音乐珍藏，总有一天你会用上的,3924483,https://music.163.com/playlist?id=3924483
6276129,327424933,87389,263,2017-06-06,860,日语 摇滚 清新 ,50,『日摇』烟火盛放的清新夏夜,753054763,https://music.163.com/playlist?id=753054763
9542318,720841,119935,986,2016-06-21,2987,电子 清新 放松 ,46,电音//有点撩骚的萨克斯,405849034,https://music.163.com/playlist?id=405849034
2693779,85351650,42223,317,2016-03-02,942,乡村 欧美 ,90,蓝草选集 I 触碰三月暖阳，哼唱轻快小调,310372396,https://music.163.com/playlist?id=310372396
6169540,7394345,108929,596,2016-11-05,3104,电子 孤独 另类/独立 ,72,冰気电子 ' 沉溺于绮旷的荒芜之境,502767290,https://music.163.com/playlist?id=502767290
5684382,103672794,112783,544,2016-06-22,2175,浪漫 舞曲 轻音乐 ,32,【摇曳着的优雅与浪漫】三步华尔兹,406761044,https://music.163.com/playlist?id=406761044
14235645,128196405,278343,854,2017-12-01,4835,欧美 民谣 治愈 ,36,北欧民谣 | 赐你一剂澄净安逸的心灵圣药,1997189512,https://music.163.com/playlist?id=1997189512
1283947,418592306,18882,50,2018-09-06,473,欧美 影视原声 钢琴 ,32,电影中的钢琴曲丨恋语哼唱，佳片有约,2407040250,https://music.163.com/playlist?id=2407040250
2742648,306851500,35175,196,2020-03-02,816,经典 欧美 怀旧 ,44,诗人篇 | 那些藏在音乐里的文学宝藏,4893733399,https://music.163.com/playlist?id=4893733399
367154,111089166,5426,36,2020-06-09,345,轻音乐 夜晚 孤独 ,61,致郁纯音丨那些用符号编织的梦境,5056460435,https://music.163.com/playlist?id=5056460435
34798828,1176807,971989,5578,2013-07-29,13890,古典 工作 学习 ,31,增强记忆性古典音乐（适合学习作业使用）,2984653,https://music.163.com/playlist?id=2984653
14943023,5832286,403147,1128,2016-03-15,6556,古典 放松 器乐 ,41,古典｜从巴洛克到浪漫的你，温柔绵长。,317803115,https://music.163.com/playlist?id=317803115
16695928,2445590,309111,1043,2016-01-19,4573,影视原声 钢琴 欧美 ,59,电影中的钢琴曲｜最会讲故事²,156659312,https://music.163.com/playlist?id=156659312
6355486,85351650,115556,951,2016-11-18,3356,后摇 钢琴 另类/独立 ,198,钢琴后摇 I 初雪点地，窸窣低语,513217941,https://music.163.com/playlist?id=513217941
10979360,50255421,148528,900,2018-09-15,3353,轻音乐 清新 安静 ,68,『纯音乐』当雨滴敲响琴键,2420545066,https://music.163.com/playlist?id=2420545066
9455468,74029445,123575,450,2017-09-27,2140,欧美 摇滚 英伦 ,147,「英伦摇滚」唱片中的昔日时光,934792457,https://music.163.com/playlist?id=934792457
12684305,411402173,226082,771,2019-02-26,2837,华语 古风 浪漫 ,149,「居家古风」如何把生活过成诗,2685449094,https://music.163.com/playlist?id=2685449094
11385125,5793019,333603,1585,2015-02-10,6368,爵士 拉丁 放松 ,25,「论如何优雅地扭动身体」,51425247,https://music.163.com/playlist?id=51425247
29057570,85351650,746345,4122,2016-03-12,13042,电子 古风 民族 ,538,电子·中国风 I 感受角徵宫商的荡气回肠,316223640,https://music.163.com/playlist?id=316223640
4275256,45441555,153304,883,2017-04-07,1521,日语 电子 ACG ,108,水果味汽水｜清甜软萌音捕获你的心,689121986,https://music.163.com/playlist?id=689121986
2985542,45441555,86800,428,2017-07-10,1252,日语 治愈 ACG ,35,少女心ღ｜恋爱是颗苹果糖,805407063,https://music.163.com/playlist?id=805407063
1470069,111089166,18094,140,2020-05-20,593,ACG 轻音乐 伤感 ,178,物哀纯音丨花开于彼岸 魂落于忘川,5026417815,https://music.163.com/playlist?id=5026417815
2289408,45441555,84540,812,2016-09-27,1079,日语 治愈 ACG ,398,软萌合唱｜让可愛治愈这个世界,473445872,https://music.163.com/playlist?id=473445872
3912840,83659385,79121,419,2017-12-05,1535,日语 感动 ACG ,265,東方抒情集：一梦华胥 永眠不散之宴,2003672301,https://music.163.com/playlist?id=2003672301
3508731,129153895,38822,400,2017-05-17,859,小语种 流行 快乐 ,39,狂想.奔放.动感.突然想学西语了！✌️,730705552,https://music.163.com/playlist?id=730705552
5448534,83659385,161349,1105,2017-09-10,2598,轻音乐 钢琴 ACG ,245,東方钢琴祭：幻梦终醒 本无不散之宴,913908853,https://music.163.com/playlist?id=913908853
18015986,739256,305369,1062,2014-04-06,5316,电子 欧美 酒吧 ,299,世界顶级沙发酒吧音乐。,11067348,https://music.163.com/playlist?id=11067348
24319328,74029445,623870,2031,2017-07-11,12094,日语 民谣 夜晚 ,72,「日语民谣」月色中的浅吟低唱,806728741,https://music.163.com/playlist?id=806728741
5474184,341030416,58514,214,2020-04-18,1369,乡村 旅行 驾车 ,325,《美国乡村乐图鉴与简史》,4975456668,https://music.163.com/playlist?id=4975456668
11870083,302227129,138593,430,2017-11-15,2303,民谣 欧美 怀旧 ,100,欧美民谣 I 往昔璀璨如钻 却又锈迹斑斑,997386069,https://music.163.com/playlist?id=997386069
22205588,129377889,490419,1342,2018-02-05,4901,日语 ACG 治愈 ,123,日系温柔女声| 沐浴在歌声中的暖阳下,2088799380,https://music.163.com/playlist?id=2088799380
5673798,75179909,142951,1763,2016-05-28,4482,后摇 孤独 器乐 ,300,300支后摇乐队，300种感性共鸣,390783436,https://music.163.com/playlist?id=390783436
