AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
6604074,311877725,63171,334,2016-10-20,810,影视原声 经典 怀旧 ,90,电影慰时光 | 华语怀旧文艺片精选,490158454,https://music.163.com/playlist?id=490158454
451473,107742044,1799,6,2024-02-27,11,华语 流行 90后 ,115,周深 单依纯 汪苏泷 毛不易,9353468541,https://music.163.com/playlist?id=9353468541
16592,380154710,138,3,2023-12-23,18,韩语 R&B/Soul 浪漫 ,57,韩系慵懒R&B：风月都好看 人间也浪漫,9091595141,https://music.163.com/playlist?id=9091595141
161135,107742044,1166,3,2024-01-21,9,华语 流行 90后 ,70,陈楚生神级舞台：再选一百次他都是冠军,9182116322,https://music.163.com/playlist?id=9182116322
497660,342371680,3722,22,2023-07-09,48,流行 快乐 欧美 ,83,夏日多巴胺快乐氛围曲•欢快旋律,8542903484,https://music.163.com/playlist?id=8542903484
13052,468356020,35,1,2024-04-04,1,华语 摇滚 治愈 ,104,摇滚｜向阳而生 像风一样自由,9670876229,https://music.163.com/playlist?id=9670876229
1708,107742044,11,评论,2024-05-09,0,华语 流行 综艺 ,72,华语神仙嗓：张碧晨 杨宗纬 汪苏泷 陈楚生,10033487202,https://music.163.com/playlist?id=10033487202
548371,107742044,2316,1,2024-03-15,22,华语 怀旧 影视原声 ,85,那些年我们一起追过的台湾偶像剧,9444595290,https://music.163.com/playlist?id=9444595290
2510,468356020,24,1,2024-04-16,0,流行 治愈 伤感 ,108,喜欢蚊子战歌是我的宿命.,9812688272,https://music.163.com/playlist?id=9812688272
1258609,1837554382,18741,81,2023-04-01,195,治愈 轻音乐 ,91,治愈纯音 | 让海风卷走烦恼,8271117999,https://music.163.com/playlist?id=8271117999
35112084,327725906,315073,1024,2019-03-15,5075,欧美 流行 世界音乐 ,179,好听到炸的英文歌单！！！好歌单，不解释。,2709554023,https://music.163.com/playlist?id=2709554023
161268,7883293786,733,6,2023-06-05,13,欧美 流行 放松 ,100,『欧美旋律』温柔与慵懒交织的氤氲梦境,8457319040,https://music.163.com/playlist?id=8457319040
28772,380154710,245,9,2023-12-26,17,流行 快乐 韩语 ,76,快乐指南99% ：是草莓软糖味的韩语小甜歌,9097862653,https://music.163.com/playlist?id=9097862653
258951,254932212,4001,111,2023-11-09,129,流行 R&B/Soul 夜晚 ,119,失眠飞行 ｜ 美丽的公主请听R&B ,8850835880,https://music.163.com/playlist?id=8850835880
960,38377151,4,评论,2024-03-26,0,欧美 电子 驾车 ,190,夜店DJ舞曲，艾瑞巴蒂嗨起来,9535983231,https://music.163.com/playlist?id=9535983231
19167,1289346856,187,3,2023-03-25,3,欧美 放松 治愈 ,55,午后小憩：暖阳下静谧温存时光 ,8258031246,https://music.163.com/playlist?id=8258031246
12088484,1920909079,5046,13,2021-11-23,16,华语 流行 伤感 ,122,0.8x 爱的多的人总先流眼泪,7084147602,https://music.163.com/playlist?id=7084147602
17764,48578227,159,3,2024-03-27,0,粤语 流行 放松 ,79,粤语 | 微醺chill的氛围感 惬意又浪漫。,9536759871,https://music.163.com/playlist?id=9536759871
122114,480862947,879,4,2023-05-21,11,华语 快乐 流行 ,47,甜音来袭：嗅弥绕其身的心动恋气,8431010565,https://music.163.com/playlist?id=8431010565
27185,312585551,128,评论,2024-03-21,0,华语 流行 90后 ,147,华语金曲 | 90后在时光中沉淀的经典老歌,9502337000,https://music.163.com/playlist?id=9502337000
13358581,409602887,184159,560,2019-06-21,2203,欧美 流行 快乐 ,253,Random丨听着就很快乐的英文歌,2853788694,https://music.163.com/playlist?id=2853788694
3652,107742044,23,评论,2024-03-22,0,粤语 经典 感动 ,60,经典粤语：致回不去的青春,9502669694,https://music.163.com/playlist?id=9502669694
73914,6397050661,2392,37,2023-11-03,11,日语 摇滚 ,44,一些贝斯很不错的日摇,8838322710,https://music.163.com/playlist?id=8838322710
87661,38377151,289,2,2024-02-18,5,欧美 电子 驾车 ,219,低沉鼓点，极致低音享受 「车载」,9315211427,https://music.163.com/playlist?id=9315211427
504154,1383811250,4003,11,2023-07-15,28,韩语 流行 放松 ,71,KPop°上班路上·轻松旋律·赶走焦虑♬,8558009535,https://music.163.com/playlist?id=8558009535
138332832,506592007,2224364,12939,2018-11-19,30426,轻音乐 学习 夜晚 ,168,纯音乐 轻音乐 解压 学习 刷题 睡觉 御用,2520739691,https://music.163.com/playlist?id=2520739691
1556,107742044,18,评论,2024-03-22,0,华语 流行 综艺 ,99,实力歌手：张碧晨单依纯陈楚生郁可唯周深,9503581552,https://music.163.com/playlist?id=9503581552
491744,1825848932,16770,120,2021-06-08,189,治愈 流行 怀旧 ,31,整个世界荒芜 我只听到我自己,6796631780,https://music.163.com/playlist?id=6796631780
69689,1720630260,368,评论,2023-04-03,3,欧美 说唱 流行 ,228,欧美说唱藏宝阁『私人臻藏』,8276779798,https://music.163.com/playlist?id=8276779798
336427,1778952780,621,66,2024-05-16,9,华语 粤语 流行 ,30,时光漫游｜过去的你完整了现在的我,10057565108,https://music.163.com/playlist?id=10057565108
40843,2071162991,59,3,2024-05-06,1,华语 流行 说唱 ,154,松弛指南｜在意识里过一生,9997878527,https://music.163.com/playlist?id=9997878527
18524,1289346856,127,评论,2024-04-27,1,欧美 R&B/Soul 夜晚 ,48,微醺暧昧氛围｜缱绻夜晚 柔情浪漫 沉醉其中,9919968211,https://music.163.com/playlist?id=9919968211
117569,424472838,971,10,2022-06-09,10,游戏 00后 ,49,永劫无间火男战斗燃曲,7478954559,https://music.163.com/playlist?id=7478954559
21238,1872710435,73,评论,2024-05-11,1,流行 旅行 ,91,旅行的风、尽情享受生命的美好与喜悦,10038920903,https://music.163.com/playlist?id=10038920903
62977,342371680,729,评论,2023-12-28,6,欧美 流行 快乐 ,75,城市漫游｜City walk自由律动 音乐充能站,9100867116,https://music.163.com/playlist?id=9100867116
3572717,540068826,47797,191,2017-12-20,572,欧美 夜晚 浪漫 ,191,性感高级慵懒风英文歌【持续更新】,2022042402,https://music.163.com/playlist?id=2022042402
21833296,1628490861,220897,702,2020-12-23,6080,欧美 流行 ,127,欧美丨旋律控的极致享受！,5393192213,https://music.163.com/playlist?id=5393192213
5020411,430629389,64248,117,2023-03-16,768,欧美 说唱 兴奋 ,134,欧美优质hiphop 顶级唱腔和丝滑flow,8236726038,https://music.163.com/playlist?id=8236726038
50549,3922217232,587,5,2023-11-25,4,轻音乐 学习 安静 ,117,/刷题背书轻音乐/刷题必备轻松纯音乐,8880860165,https://music.163.com/playlist?id=8880860165
2917,380154710,21,评论,2024-03-29,0,华语 流行 驾车 ,186,中文DJ | 车载高速必备咚鼓版dj歌曲,9586930644,https://music.163.com/playlist?id=9586930644
667412,8224140718,8383,251,2023-08-31,118,伤感 思念 网络歌曲 ,75,你闯进了我的镜头 我按下了消失,8702531981,https://music.163.com/playlist?id=8702531981
155318,5211601201,1468,5,2023-10-11,23,欧美 放松 快乐 ,140,『欧美小众』生有热烈，藏与俗常,8793174852,https://music.163.com/playlist?id=8793174852
943,107742044,6,评论,2024-04-20,0,华语 流行 综艺 ,60,神仙嗓音天花板：单依纯 徐佳莹 张碧晨,9848678870,https://music.163.com/playlist?id=9848678870
3047730,1650191296,26727,114,2019-07-27,580,欧美 说唱 R&B/Soul ,92,Urban · 历届格莱美精选集,2902128439,https://music.163.com/playlist?id=2902128439
1154921,107742044,6988,15,2023-11-02,29,华语 流行 治愈 ,179,治愈度1000%：单依纯 郁可唯 毛不易 周深,8837413655,https://music.163.com/playlist?id=8837413655
3587093,1580575984,60429,288,2022-03-31,1094,欧美 浪漫 R&B/Soul ,257,欧美小众| 惊艳世俗的极致氛围,7359306721,https://music.163.com/playlist?id=7359306721
561723,1998053337,3281,20,2021-09-01,44,欧美 运动 流行 ,208,节奏律动丨享受华丽-50s后炸裂,6949909481,https://music.163.com/playlist?id=6949909481
1569,2118682115,8,评论,2024-05-06,0,华语 流行 翻唱 ,46,90后怀旧集丨Jay歌曲免费听 专属我们的回忆,10003661442,https://music.163.com/playlist?id=10003661442
1339237,107742044,6245,28,2024-02-22,37,华语 流行 综艺 ,103,天赐的声音：顶级实力派歌手,9334706614,https://music.163.com/playlist?id=9334706614
293650,107742044,1425,2,2023-12-12,5,华语 流行 综艺 ,86,华语顶级live：狙击耳朵的神级现场,8926263827,https://music.163.com/playlist?id=8926263827
96149944,7883295797,371101,4251,2022-06-14,15922,华语 流行 伤感 ,180,宝藏挖掘机|分享好音乐和金曲,7487805161,https://music.163.com/playlist?id=7487805161
1099643,107742044,5941,9,2023-12-03,51,流行 华语 感动 ,159,单依纯张碧晨刘惜君郁可唯,8899456168,https://music.163.com/playlist?id=8899456168
444147,511328651,8799,49,2022-06-20,135,日语 流行 ,46,City pop | 梦回海浪拂过的昭和年代,7498269601,https://music.163.com/playlist?id=7498269601
8688,107742044,105,评论,2024-03-27,4,华语 流行 快乐 ,32,凤凰传奇2024年演唱会：吉祥如意！,9553217803,https://music.163.com/playlist?id=9553217803
1245462,2118682115,18599,48,2022-06-16,252,日语 流行 ACG ,76,日系治愈 | 微风轻轻起 我好喜欢你,7490641838,https://music.163.com/playlist?id=7490641838
163195,8369702149,2126,12,2023-03-29,19,R&B/Soul 浪漫 ,95,R＆B 氛围| 浪漫的微醺氛围,8264726806,https://music.163.com/playlist?id=8264726806
6454,380154710,38,评论,2024-04-01,2,韩语 流行 放松 ,82,万物可爱 | 春暖花开 最美人间四月天,9635317940,https://music.163.com/playlist?id=9635317940
666,1289346856,15,1,2024-03-25,0,放松 清新 治愈 ,52,春日i人放空系 | 别无所求 只想被阳光晒透,9524315019,https://music.163.com/playlist?id=9524315019
1229,2118682115,5,评论,2024-04-26,0,欧美 流行 浪漫 ,58,欧美治愈 风落在耳边 嘱咐你要热爱这个世界,9911347382,https://music.163.com/playlist?id=9911347382
