欧美R&B入坑曲：封神旋律 是谁的一代青春##欧美 R&B/Soul 90后 ##10009377589##78
荒诞美学｜神秘诡谲°优雅与疯狂##欧美 另类/独立 兴奋 ##9355373057##1026
华语R&B：百听不厌的华语节奏布鲁斯##华语 流行 R&B/Soul ##9381079097##1124
那些你熟悉却又不知道名字的轻音乐##轻音乐 学习 治愈 ##26467411##2636419
第44届全英音乐奖‖SZA拿下年度国际艺术家##欧美 流行 英伦 ##9388585797##800
『游戏高燃BGM｜全程高能一燃到底』##电子 流行 游戏 ##10040225713##23
『韩语歌』那些让人一秒沦陷的神仙前奏##流行 舞曲 韩语 ##9351138519##708
运动【硬曲】【战歌起】自律时代##欧美 电子 驾车 ##9501641586##155
无前奏R&B | 开口脆 强吻般浪漫布鲁斯##欧美 R&B/Soul 浪漫 ##9744022802##105
车载必备｜高速必备DJ舞曲##欧美 电子 驾车 ##9590480987##42
最强音综：神级现场，惊艳全场##华语 流行 综艺 ##9690444186##3222
亲爱的你是唯一让我如此难以入眠##华语 流行 夜晚 ##9474470606##202
运动【硬曲】【战歌起】自律时代##欧美 电子 驾车 ##9500819475##288
日漫超燃ACG |命运止于此夜 无尽刀剑齐鸣##日语 摇滚 ACG ##9978045476##66
运动【硬曲】【战歌起】自律时代##欧美 电子 驾车 ##9536140543##40
Spotify 流媒体时代最伟大的100首R&B歌曲##欧美 流行 R&B/Soul ##9760878350##1245
微醺氛围感R&B：韵律小情歌 慵懒俏皮性感##欧美 浪漫 R&B/Soul ##10017037167##670
100%松弛度/灵魂乐R&B 慵懒 迷幻氛围##欧美 R&B/Soul 放松 ##9772379403##1195
那些超燃超带感的英文歌【精选合集no.1】##欧美 电子 游戏 ##9958289078##16
至此鲜花赠自己，纵马踏花向自由##安静 孤独 治愈 ##9813546897##32
春日限定｜嗓音里的惬意慵懒，暧昧不断…##华语 流行 说唱 ##9411308233##513
华语80，90后经典老歌 | 怀念青春的模样##华语 流行 90后 ##9369249551##531
『综艺』天赐的声音第五季｜最全合集##华语 流行 综艺 ##10052218918##681
雨停了 再送伞就没意义了##流行 夜晚 伤感 ##9981784231##19
【R&B/流行】今天辛苦了 进来休息下吧！##华语 流行 R&B/Soul ##9765947737##890
抖腿车载DJ硬曲 | 低音炮震撼低沉鼓点音浪##电子 驾车 性感 ##10042588952##35
欧美清爽调 | 自由灵魂氧 | 音乐律动walk##欧美 流行 快乐 ##9482738367##66
综艺名场面live：一人一首成名曲##流行 华语 综艺 ##9305502310##5084
民族嘻哈｜说唱不止迪士尼还有五湖四海的风##华语 说唱 民族 ##9719176687##72
天赐的声音我是歌手：历届金曲舞台##华语 流行 综艺 ##10042248091##173
韩语流行热歌：哪首是你的心头好##韩语 流行 酒吧 ##9306039296##222
大胆奔赴 | 允许一切如其所事##华语 流行 浪漫 ##9936735669##96
日语治愈：动心旋律 温柔治愈的日系歌曲##日语 流行 治愈 ##10040430937##31
520心动指南｜其实只是想找个理由见你##快乐 浪漫 放松 ##10063041158##654
华语R&B||把地球倒置，我用撒哈拉沙漠计时##华语 R&B/Soul 浪漫 ##9951852914##26
运动【硬曲】【战歌起】自律时代##欧美 电子 驾车 ##9536256775##74
反方向的钟 | “说好的幸福呢”##华语 流行 经典 ##9845931493##20
一听上瘾丨适合循环播放DJ咚鼓歌曲##华语 电子 驾车 ##9756121142##111
打游戏必备丨戴上耳机 逆风翻盘carry全场##欧美 电子 兴奋 ##9760000074##108
华语怀旧：重拾90后往昔岁月##华语 怀旧 90后 ##9455871473##225
五一快乐｜在旅途中邂逅美妙的旋律##华语 流行 旅行 ##9726256721##1641
经典老歌 | 90后萦绕在耳畔的回忆##华语 流行 90后 ##9607064956##184
欧美治愈日记本 · 笑着面对痛点##欧美 治愈 ##10085324532##16
华语Rnb：别让世俗淹没生活的浪漫和热情##华语 R&B/Soul 浪漫 ##9269883018##513
戳泪预警：孤独患者一个人的狂欢##流行 夜晚 伤感 ##10008795146##48
独立流行｜孤独且鲜红的野玫瑰##另类/独立 欧美 安静 ##9486843417##4
90后｜一人一首成名曲 -经典永不过时##华语 流行 90后 ##9773802034##66
浪漫R&B：或甜或欲 浪漫撩耳的迷醉氛围##欧美 R&B/Soul 浪漫 ##9174389076##2162
经典老歌 | 90后青春回忆 怀旧流行歌曲##90后 流行 怀旧 ##9703399866##39
90后经典 | 一人一首成名曲 火爆华语乐坛##90后 经典 华语 ##9678845718##48
说唱|让你一秒沦陷的动感旋律##欧美 说唱 ##9808650754##5
天赐的声音第五季第5期｜歌曲全收录持更##华语 综艺 ##9638533417##223
『蹦迪 车载 抖腿』车窗摇下，声音调到最大##欧美 电子 驾车 ##9590440052##62
天赐的声音金曲：汪苏泷 张碧晨 王赫野##华语 流行 综艺 ##9971003681##53
华语经典 | 90后流行歌曲 旧时光的不老岁月##华语 流行 90后 ##10008726850##12
王菲/刘若英/林忆莲/王若琳/莫文蔚等##华语 流行 安静 ##9832492098##21
粤语经典老歌 首首经典 曲曲好听##粤语 流行 经典 ##9925802966##20
蔡健雅 莫文蔚 杨丞琳 徐佳莹 梁静茹##华语 流行 90后 ##9945712950##20
声生不息&天赐的声音&中国好声音##华语 流行 综艺 ##9695574958##54
经典老歌 | 90后回忆杀 给你一首我爱的歌##经典 华语 流行 ##9824208790##21
「中文DJ嗨曲」 车载必备 慢摇DJ舞曲 ##华语 流行 驾车 ##9364738029##2091
90后回忆杀｜华语乐坛忆青春流行歌曲##华语 流行 90后 ##9796197580##15
毛不易，单依纯，张碧晨，薛之谦，邓紫棋##华语 流行 感动 ##9295587633##2532
那些好听到爆的经典老歌 一秒沦陷##华语 流行 经典 ##9673986928##38
张碧晨汪苏泷陈楚生周深张杰毛不易##华语 流行 综艺 ##10035669020##21
运动【硬曲】【战歌起】自律时代##欧美 电子 驾车 ##9844238233##32
INFJ放空｜感受夏日午后微风的味道##清新 放松 治愈 ##10041012901##58
神级翻唱live：享受天花板级别的嗓音##华语 翻唱 综艺 ##9238869483##1641
80，90后专属经典老歌 | 重温青春年少时刻##华语 流行 90后 ##9518409119##169
〖唯美纯音〗不需要歌词,也可以打动你的心##轻音乐 钢琴 ACG ##112875926##1739740
深情布鲁斯，浓情老酒馆。##欧美 蓝调 爵士 ##939320758##345334
国摇金属:梦与花火怒放的桀骜篇章##摇滚 金属 ##3114158828##16593
法语爵士|红酒与玫瑰浪漫邂逅##爵士 Bossa Nova 小语种 ##1997190595##107871
【德语】莱茵河畔之风拂过心田##欧美 流行 世界音乐 ##2653868848##5978
『中国好声音&天赐的声音&声生不息』最新热歌收录##华语 流行 综艺 ##9487776277##23
经典老歌 | 90后回忆杀 一起回到那个年代##华语 怀旧 经典 ##9704577823##26
春日放空系：悠闲散漫 温柔慵懒 沐浴微风 ##清新 放松 治愈 ##9382428750##38
周深 毛不易 汪苏泷 单依纯 张杰 张碧晨##华语 流行 驾车 ##9904321307##38
天赐的声音：张碧晨+汪苏泷+陈楚生+杨宗纬##华语 流行 综艺 ##10028444882##56
承载我们回忆的经典老歌 致敬曾经的岁月##华语 怀旧 经典 ##9379612912##2712
顶级live：2024最值得听的神级舞台##华语 流行 综艺 ##9512251168##28
温柔治愈系 | 音乐才是荒芜人生的解药。##欧美 流行 治愈 ##9813441041##54
重温 | 90后青春回忆 藏在老歌里的故事##华语 流行 90后 ##9373493194##133
